في, 0.055363256
أن, 0.049027906
من, 0.046728736
%تردد, 0.044745386
على, 0.02355386
هذا, 0.020250382
هذه, 0.01974507
إلى, 0.0186397
%تنفس, 0.016384745
أو, 0.01514673
ما, 0.01491934
التي, 0.011293725
%علم:مكان, 0.011211612
هناك, 0.010579972
عن, 0.010289418
و, 0.009979914
%تردﺩ, 0.009556715
ولكن, 0.009531449
لا, 0.0095125
%علم:شخص, 0.009133516
هو, 0.009000872
%ضجيج, 0.00745967
يمكن, 0.007415455
هي, 0.00667012
يجب, 0.006531159
إذن, 0.006246921
مع, 0.006101644
ذلك, 0.006000581
الذي, 0.005261562
كل, 0.005198398
إذا, 0.00468677
وهذا, 0.004547809
نحن, 0.004535176
هنا, 0.004522543
أنا, 0.004408848
أيضًا, 0.004364633
ربما, 0.004358317
خلال, 0.004149876
التعليم, 0.004093028
بالنسبة, 0.0039667
كان, 0.003916169
بين, 0.003770891
هل, 0.00372036
قد, 0.003682462
يكون, 0.003486653
لدينا, 0.003436122
بعض, 0.003423489
كيف, 0.003360325
أي, 0.00317715
%علم:منظمة, 0.003126619
لم, 0.003101353
الكثير, 0.003031873
لكي, 0.002949759
الرعاية, 0.002918177
البيانات, 0.002899228
بأن, 0.002722369
قطر, 0.002690787
ليس, 0.00268447
عندما, 0.002671838
إن, 0.002665521
حول, 0.002646572
%لغة:إنجليزية, 0.002627623
أكثر, 0.002608674
بعد, 0.00254551
بشكل, 0.002532877
أنه, 0.002532877
الآن, 0.002513928
وفي, 0.002507611
كما, 0.002494978
يتعلق, 0.002488662
إذاً, 0.002463396
أعتقد, 0.00245708
فقط, 0.002450764
العالم, 0.002412865
كانت, 0.002406549
ومن, 0.002400232
مجال, 0.002362334
الصحية, 0.002330752
ينبغي, 0.00222969
إلي, 0.002191791
%علم:آخر, 0.002179158
وأن, 0.002153893
أود, 0.002153893
مثلاً, 0.002128627
., 0.002128627
أيضاً, 0.002122311
%ضجيج, 0.002109678
الأمور, 0.002109678
نتحدث, 0.002084412
وهو, 0.002078096
فيما, 0.002065463
قبل, 0.002059147
الصحة, 0.002046514
تكون, 0.001995983
